N°Obs,"En moyenne, à quelle fréquence achetez-vous des vêtements ?",Où achetez-vous le plus souvent ? (choix multiples),Quel est le cycle de vie moyen d’un vêtement dans votre garde-robe avant que vous ne vous en sépariez ?,Que faites-vous le plus souvent des vêtements dont vous souhaitez vous séparer ? (choix multiples),"Après avoir acheté des vêtements, à quelle fréquence finissent-ils par ne jamais être portés ?",Jusqu’à quel point les tendances actuelles influencent-elles vos décisions d’achat ?,A quelle fréquence achetez-vous un vêtement uniquement parce qu'il est tendance ?,Avez-vous déjà ressenti une pression sociale liée à la mode ?,Avez-vous déjà évité de porter un vêtement parce qu’il n’était “plus à la mode” ?,Dans quelle mesure vos vêtements contribuent-ils à votre confiance en vous ?,Pensez-vous que bien s’habiller aide dans la vie sociale ?,"Jusqu’à quel point les réseaux sociaux (influenceurs, célébrités) dictent-ils vos choix vestimentaires ?",Je publie parfois des photos de mes achats “tendance” pour les partager avec mes amis et ma famille.,Avez-vous déjà ressenti un sentiment de culpabilité après avoir acheté un article tendance vu sur les réseaux sociaux ?,Avez-vous déjà remarqué une différence dans la manière dont vous êtes perçu(e) lorsque vous ne suivez pas une tendance ?,Avez-vous déjà acheté certains de ces articles ? (choix multiples),Connaissez-vous le concept de “fast fashion” ?,"“La fast fashion, ou « mode rapide », est une façon de produire et vendre des vêtements très vite, en suivant les dernières tendances, à des prix très bas.” __Avez-vous déjà consommé sur des plateformes de fast fashion (Shein, Temu, etc.) ?","Dans quelle mesure les considérations éthiques (conditions de travail)/environnementales (pollution, matériaux)  affectent-elles vos achats ?","Si un vêtement éthique (bio, local, éco-responsable) coûtait 20 % plus cher, dans quelle mesure seriez-vous prêt(e) à l’acheter ?",Pour quelles raisons achetez-vous des vêtements de marques considérées comme fast fashion ? (Choix multiples),Quel est votre âge ?,Êtes-vous :,"Selon vous, la mode est-elle davantage un outil d'expression personnelle ou un moyen de se conformer aux attentes sociales?",Quelle est votre situation professionnelle ?,(Quelle est votre situation professionnelle ?) Précisez :,"(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ?) Prix","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Qualité","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Marque","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Mode / tendances","(Quand vous achetez un produit, à quel point chacune des caractéristiques suivantes est-elle importante pour vous ? ) Confort","Bonjour,_Ce questionnaire porte sur la mode et son influence dans la vie _quotidienne._Il est anonyme et confidentiel, il ne vous _prendra que quelques minutes._Merci d'avance pour votre participation  !",Clé,Date de saisie,Date de dernier enregistrement,Date de dernière modification,Temps de saisie,Origine,Langue,Appareil utilisé pour la saisie,Progression,Dernière question saisie,
11,Au moins une fois par mois,Magasin physique;Internet,Plus de 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,1,Rarement,Jamais,Jamais,1,Pas du tout,1,1,,1,Campus,Oui,"Non, mais je connais ces plateformes",8,1,Mode actuelle,45,Une femme,C'est un moyen de se conformer aux attentes sociales,Chef d'entreprise / PDG,,10,10,1,1,10,,TTZN-XANT,17/10/2025 10:04:07,17/10/2025 10:18:21,,"854,684299",direct,FR,Smartphone,Terminé,,
12,Au moins une fois par mois,Internet,1 à 5 ans,Je les donne;Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,7,Rarement,Rarement,Rarement,7,Assez,8,6,3,4,Pantalon cargo;Campus;Samba,Oui,Oui,8,3,Facilité d’achat;Par réseaux sociaux/Publicité,20,Un homme,C'est un outil d'expression personnelle,Autre,,5,8,10,8,9,,CA8L-XFNJ,17/10/2025 10:14:48,17/10/2025 10:19:45,,"297,520599",direct,FR,Smartphone,Terminé,,
13,Au moins une fois par mois,Internet,1 à 5 ans,Je les garde sans les utiliser,Je porte presque toujours mes achats,5,Rarement,Jamais,Parfois,9,Beaucoup,5,3,,4,Pantalon cargo;Campus;Tote bag,Oui,Oui,5,4,Abordables;Facilité d’achat;Mode actuelle;Par réseaux sociaux/Publicité,22,Une femme,C'est un moyen de se conformer aux attentes sociales,Autre,Salariée,8,10,9,7,7,,927A-W7FK,17/10/2025 10:16:38,17/10/2025 10:20:22,,"224,100488",direct,FR,Smartphone,Terminé,,
14,Tous les 2 à 3 mois,Magasin physique;Internet;Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,4,Rarement,Jamais,Jamais,7,Beaucoup,1,1,,1,Aucun,Non,Oui,5,5,Abordables,55,Une femme,C'est un outil d'expression personnelle,Ouvrier / Ouvrière,,8,8,6,5,10,,UM76-89NH,17/10/2025 10:16:36,17/10/2025 10:20:35,,"239,375255",direct,FR,Smartphone,Terminé,,
15,Au moins une fois par mois,Internet,1 à 5 ans,Je les donne;Je les vends;Je les recycle,Certains vêtements restent parfois inutilisés,7,Parfois,Souvent,Parfois,8,Assez,8,8,7,7,Sonny Angel;Tote bag;Samba,Oui,Oui,5,10,Abordables;Facilité d’achat,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,9,7,8,10,,AVST-C8GT,17/10/2025 10:16:54,17/10/2025 10:20:48,,"234,258149",direct,FR,Smartphone,Terminé,,
16,Au moins une fois par semaine,Magasin physique;Internet,6 mois à 1 an,Je les donne,Certains vêtements restent parfois inutilisés,8,Parfois,Rarement,Parfois,8,Beaucoup,7,6,4,3,Samba,Oui,Oui,4,7,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle;Renouvellement des collections;Par réseaux sociaux/Publicité,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,7,8,5,9,7,,DFMR-5CKB,17/10/2025 10:18:22,17/10/2025 10:21:38,,"195,692617",direct,FR,Smartphone,Terminé,,
17,Tous les 2 à 3 mois,Magasin physique,Plus de 5 ans,Je les donne;Je les recycle;Je les garde sans les utiliser,Certains vêtements restent parfois inutilisés,5,Rarement,Jamais,Jamais,10,Peu,1,1,,6,Pantalon cargo;Campus;Sonny Angel;Stanley Cup;Samba,Oui,Oui,1,4,Abordables;Facilité d’achat,15,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,6,3,1,5,5,,UWDM-3WQJ,17/10/2025 10:27:27,17/10/2025 10:31:26,,"238,670266",direct,FR,Smartphone,Terminé,,
18,Au moins une fois par semaine,Magasin physique,6 mois à 1 an,Je les vends,Je porte presque toujours mes achats,5,Parfois,Rarement,Rarement,5,Assez,5,1,1,6,Pantalon cargo;Sonny Angel,J’en ai entendu parler sans bien savoir,Oui,5,8,Beaucoup d’options,21,Un homme,Je ne sais pas,Étudiant(e),,8,10,7,5,7,,M7R6-CAJD,17/10/2025 10:28:07,17/10/2025 10:31:39,,"211,768947",direct,FR,Smartphone,Terminé,,
19,Tous les 2 à 3 mois,Friperie / Seconde main,Plus de 5 ans,Je les donne;Je les vends,Certains vêtements restent parfois inutilisés,4,Rarement,Jamais,Parfois,7,Assez,4,3,,1,Pantalon cargo,Oui,Oui,8,7,Abordables;Facilité d’achat,20,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,6,7,3,8,,RD54-TBLL,17/10/2025 10:35:34,17/10/2025 10:38:11,,"156,991719",direct,FR,Smartphone,Terminé,,
20,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,8,Rarement,Jamais,Rarement,7,Pas du tout,8,3,,3,Pantalon cargo;Campus,Non,Oui,4,3,Abordables;Facilité d’achat;Renouvellement des collections;Par réseaux sociaux/Publicité,20,Une femme,Je ne sais pas,Ouvrier / Ouvrière,,7,8,5,7,8,,64ND-VGBF,17/10/2025 10:39:25,17/10/2025 10:45:52,,"386,927681",direct,FR,Smartphone,Terminé,,
21,Au moins une fois par mois,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les vends;Je les jette,Certains vêtements restent parfois inutilisés,7,Rarement,Parfois,Rarement,6,Beaucoup,3,2,1,7,Pantalon cargo;Campus,Oui,Oui,8,3,Beaucoup d’options;Abordables;Facilité d’achat,18,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,4,1,5,10,,3V7V-AWEV,17/10/2025 10:59:30,17/10/2025 11:04:00,,"270,23986",direct,FR,Smartphone,Terminé,,
22,Tous les 4 à 6 mois,Magasin physique,Plus de 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,7,Parfois,Rarement,Rarement,8,Assez,7,1,3,2,Pantalon cargo;Tote bag,Oui,"Non, mais je connais ces plateformes",8,7,Mode actuelle,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,7,9,5,3,8,,KE5X-FGMK,17/10/2025 11:10:17,17/10/2025 11:14:02,,"225,068566",direct,FR,Smartphone,Terminé,,
23,Tous les 4 à 6 mois,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les vends;Je les jette;Je les garde sans les utiliser,Je porte presque toujours mes achats,4,Parfois,Rarement,Jamais,6,Assez,1,1,1,1,Pantalon cargo;Tote bag,Oui,Oui,5,5,Abordables;Par conseil d’amis/famille,19,Une femme,Je ne sais pas,Étudiant(e),,10,6,3,5,10,,EKLR-8PC6,17/10/2025 11:10:01,17/10/2025 11:14:52,,"291,662697",direct,FR,Smartphone,Terminé,,
24,Tous les 2 à 3 mois,Magasin physique;Internet,Plus de 5 ans,Je les donne;Je les garde sans les utiliser,Je porte presque toujours mes achats,3,Jamais,Jamais,Parfois,8,Assez,3,1,,2,Stanley Cup,Oui,Oui,5,3,Abordables,25,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,8,2,3,8,,49XJ-NDSW,17/10/2025 11:51:34,17/10/2025 11:55:26,,"232,429016",direct,FR,Smartphone,Terminé,,
25,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,7,Parfois,Souvent,Rarement,9,Assez,6,2,4,2,Samba,Oui,Oui,5,4,Abordables,22,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,10,7,3,7,8,,AMPT-25B4,17/10/2025 11:51:29,17/10/2025 11:55:33,,"244,058711",direct,FR,Smartphone,Terminé,,
26,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les recycle,Je porte presque toujours mes achats,6,Rarement,Parfois,Rarement,9,Assez,1,4,5,7,Stanley Cup,Oui,"Non, mais je connais ces plateformes",2,4,Beaucoup d’options;Abordables;Facilité d’achat,24,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,10,9,4,6,8,,BVSR-5XE9,17/10/2025 11:51:18,17/10/2025 11:57:58,,"400,083938",direct,FR,Smartphone,Terminé,,
27,Tous les 2 à 3 mois,Magasin physique;Internet;Friperie / Seconde main,Plus de 5 ans,Je les donne,Je porte presque toujours mes achats,6,Rarement,Rarement,Parfois,7,Assez,4,6,2,5,Tote bag;Samba,Oui,Oui,7,8,Beaucoup d’options;Facilité d’achat,23,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,9,8,1,5,7,,7P6U-HF2Z,17/10/2025 11:52:01,17/10/2025 12:00:08,,"487,785936",direct,FR,Smartphone,Terminé,,
28,Tous les 4 à 6 mois,Magasin physique;Friperie / Seconde main,1 à 5 ans,Je les donne;Je les recycle;Je les garde sans les utiliser,Je porte presque toujours mes achats,5,Rarement,Rarement,Jamais,5,Assez,3,1,6,6,Pantalon cargo;Tote bag,Oui,"Non, mais je connais ces plateformes",7,7,Abordables,21,Une femme,Je ne sais pas,Étudiant(e),,9,8,1,5,9,,J6UF-C8QU,17/10/2025 11:56:53,17/10/2025 12:00:49,,"235,673945",direct,FR,Smartphone,Terminé,,
29,Au moins une fois par semaine,Internet,1 à 5 ans,Je les vends,Une grande partie de mes achats ne sont jamais portés,4,Rarement,Parfois,Jamais,6,Beaucoup,3,8,5,8,Sonny Angel,Oui,Oui,2,2,Abordables,17,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,5,3,5,3,,YCSK-QSL9,17/10/2025 11:58:38,17/10/2025 12:03:57,,"318,778428",direct,FR,Smartphone,Terminé,,
30,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,8,Parfois,Jamais,Rarement,3,Assez,7,4,,6,Pantalon cargo,Non,"Non, mais je connais ces plateformes",6,8,Abordables;Mode actuelle;Par réseaux sociaux/Publicité,18,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,10,7,3,7,7,anticonstitutionnellement,VM8K-MKGJ,17/10/2025 12:01:26,17/10/2025 12:06:48,,"321,951794",direct,FR,PC,Terminé,,
31,Au moins une fois par mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,7,Parfois,Jamais,Rarement,1,Assez,7,4,,8,Aucun,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",3,8,Abordables;Par conseil d’amis/famille;Par réseaux sociaux/Publicité,17,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,8,3,8,6,bonjour,EANH-ZGFU,17/10/2025 12:01:24,17/10/2025 12:07:01,,"337,063948",direct,FR,PC,Terminé,,
32,Au moins une fois par mois,Magasin physique;Friperie / Seconde main,Plus de 5 ans,Je les donne,Je porte presque toujours mes achats,8,Parfois,Parfois,Parfois,10,Beaucoup,7,4,1,8,Pantalon cargo;Tote bag;Stanley Cup,Oui,Oui,5,3,Abordables,24,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,7,8,8,10,4,,EAAV-SDXF,17/10/2025 12:04:34,17/10/2025 12:08:00,,"205,332786",direct,FR,Smartphone,Terminé,,
33,Tous les 2 à 3 mois,Magasin physique;Internet;Friperie / Seconde main,6 mois à 1 an,Je les garde sans les utiliser,Je porte presque toujours mes achats,3,Jamais,Rarement,Jamais,7,Beaucoup,3,3,6,3,Pantalon cargo,Oui,Oui,3,3,Abordables;Facilité d’achat,17,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,8,4,6,3,3,,WM5A-FX5S,17/10/2025 12:07:10,17/10/2025 12:09:58,,"167,771687",direct,FR,Smartphone,Terminé,,
34,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,6,Parfois,Souvent,Rarement,8,Assez,5,3,6,8,Aucun,Oui,"Non, mais je connais ces plateformes",7,5,Par réseaux sociaux/Publicité,19,Une femme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,10,8,5,5,10,,LSZS-5A39,17/10/2025 12:15:35,17/10/2025 12:19:27,,"232,18914",direct,FR,Smartphone,Terminé,,
35,Au moins une fois par mois,Magasin physique;Internet,Moins de 6 mois,Je les vends,Je porte presque toujours mes achats,8,Rarement,Parfois,Rarement,8,Peu,7,8,6,8,Sonny Angel,Non,Oui,8,9,Beaucoup d’options,20,Un homme,Je ne sais pas,Étudiant(e),,6,8,8,4,9,,5MD3-8DGR,17/10/2025 12:18:20,17/10/2025 12:21:35,,"195,079593",direct,FR,Smartphone,Terminé,,
36,Tous les 2 à 3 mois,Magasin physique,1 à 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,10,Souvent,Parfois,Rarement,10,Beaucoup,7,1,1,9,Aucun,Non,Oui,6,1,Mode actuelle,22,Une femme,Je ne sais pas,Étudiant(e),,5,9,2,8,10,,UTL4-LPR3,17/10/2025 12:19:16,17/10/2025 12:23:30,,"253,576952",direct,FR,Smartphone,Terminé,,
37,Tous les 4 à 6 mois,Magasin physique,Plus de 5 ans,Je les donne,Je porte presque toujours mes achats,4,Rarement,Parfois,Rarement,7,Assez,6,1,3,7,Pantalon cargo;Campus,Non,"Non, mais je connais ces plateformes",5,5,Par conseil d’amis/famille,20,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,9,8,5,7,8,,8PAN-GX29,17/10/2025 12:18:24,17/10/2025 12:23:34,,"310,180281",direct,FR,Smartphone,Terminé,,
38,Au moins une fois par an,Magasin physique,Plus de 5 ans,Je les jette,Je porte presque toujours mes achats,1,Jamais,Jamais,Jamais,7,Assez,1,1,,5,Aucun,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",7,8,Abordables;Facilité d’achat,19,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,7,10,1,1,10,,GWRA-GJJR,17/10/2025 12:17:22,17/10/2025 12:23:40,,"378,177255",direct,FR,Smartphone,Terminé,,
39,Tous les 4 à 6 mois,Magasin physique,1 à 5 ans,Je les donne,Je porte presque toujours mes achats,4,Rarement,Jamais,Jamais,4,Assez,2,2,,2,Pantalon cargo,Non,Oui,1,6,Facilité d’achat,20,Un homme,Je ne sais pas,Étudiant(e),,8,8,3,3,10,,RED9-KZRB,17/10/2025 12:20:59,17/10/2025 12:24:02,,"183,43164",direct,FR,Smartphone,Terminé,,
40,Tous les 2 à 3 mois,Internet,1 à 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,5,Rarement,Rarement,Rarement,8,Beaucoup,3,1,3,5,Pantalon cargo;Campus,Oui,Oui,7,4,Par conseil d’amis/famille,19,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,8,10,1,8,5,,NLUD-REL7,17/10/2025 12:21:26,17/10/2025 12:24:40,,"194,602206",direct,FR,Smartphone,Terminé,,
41,Tous les 4 à 6 mois,Magasin physique;Internet;Friperie / Seconde main,1 à 5 ans,Je les vends;Je les garde sans les utiliser,Je porte presque toujours mes achats,7,Parfois,Parfois,Jamais,7,Beaucoup,8,3,2,2,Pantalon cargo,J’en ai entendu parler sans bien savoir,"Non, mais je connais ces plateformes",7,4,Abordables,19,Un homme,C'est un outil d'expression personnelle,Étudiant(e),,9,6,4,7,9,,XG56-J9QJ,17/10/2025 12:20:25,17/10/2025 12:25:25,,"300,239913",direct,FR,Smartphone,Terminé,,
42,Tous les 2 à 3 mois,Magasin physique,Plus de 5 ans,Je les donne,Je porte presque toujours mes achats,2,Jamais,Jamais,Rarement,7,Beaucoup,1,1,,3,Aucun,Oui,"Non, mais je connais ces plateformes",8,6,Abordables,19,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,7,5,3,9,,32Q3-H5VF,17/10/2025 12:20:14,17/10/2025 12:26:23,,"368,404065",direct,FR,Smartphone,Terminé,,
43,Tous les 4 à 6 mois,Magasin physique;Internet,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,8,Jamais,Jamais,Parfois,10,Beaucoup,8,1,,5,Pantalon cargo,Non,"Non, mais je connais ces plateformes",5,5,Facilité d’achat;Renouvellement des collections,20,Un homme,C'est un moyen de se conformer aux attentes sociales,Étudiant(e),,7,10,7,5,10,,JLM6-EREV,17/10/2025 12:23:12,17/10/2025 12:26:41,,"208,553446",direct,FR,Smartphone,Terminé,,
44,Tous les 2 à 3 mois,Internet,1 à 5 ans,Je les donne;Je les vends,Je porte presque toujours mes achats,6,Rarement,Parfois,Rarement,10,Beaucoup,8,5,3,5,Aucun,Oui,Oui,2,5,Beaucoup d’options;Abordables,30,Une femme,C'est un outil d'expression personnelle,Étudiant(e),,8,9,1,7,5,,9ADC-HUZK,17/10/2025 12:02:20,17/10/2025 12:29:05,,"1605,16852",direct,FR,Smartphone,Terminé,,
45,Au moins une fois par mois,Magasin physique,1 à 5 ans,Je les donne,Certains vêtements restent parfois inutilisés,8,Parfois,Parfois,Parfois,9,Assez,6,2,2,10,Campus;Stanley Cup,Non,Oui,7,8,Beaucoup d’options;Abordables;Facilité d’achat;Mode actuelle,33,Une femme,C'est un moyen de se conformer aux attentes sociales,Fonctionnaire,,10,10,7,8,10,,6DNU-PYLZ,17/10/2025 12:19:50,17/10/2025 12:31:43,,"713,465923",direct,FR,Smartphone,Terminé,,
